bin,delay_avg,jitter_avg,n
1-1000,1470.6,451.9,1000
1001-2000,1914.6,555.1,1000
2001-3000,1831.7,596.6,1000
3001-4000,1918.5,518.3,1000
4001-5000,3827.3,617.8,1000
5001-6000,1517.0,498.4,1000
6001-7000,2301.7,571.2,1000
7001-8000,1801.2,503.5,1000
8001-9000,3012.7,802.1,1000
9001-10000,2309.2,610.2,1000
10001-11000,1892.0,525.5,1000
11001-12000,1556.4,484.1,1000
12001-13000,1796.5,500.0,1000
13001-14000,1933.1,513.8,1000
14001-15000,1722.2,584.5,1000
15001-16000,4664.2,650.3,1000
16001-17000,1583.7,521.1,1000
17001-18000,1765.7,486.3,1000
18001-19000,1653.2,512.6,1000
19001-20000,1839.6,465.4,1000
20001-21000,1617.6,516.6,1000
21001-22000,2194.4,676.7,1000
22001-23000,1819.9,497.8,1000
23001-24000,1995.6,519.7,1000
24001-25000,1572.6,418.5,1000
25001-26000,2370.5,581.8,1000
26001-27000,2217.8,541.5,1000
27001-28000,2175.5,568.2,1000
28001-29000,2787.7,534.3,1000
29001-30000,1862.1,551.9,1000
30001-31000,1631.3,540.0,1000
31001-32000,1865.0,577.3,1000
32001-33000,2941.9,637.9,1000
33001-34000,2062.7,565.0,1000
34001-35000,1839.6,516.1,1000
35001-36000,2884.3,599.5,1000
36001-37000,2116.7,584.4,1000
37001-38000,1975.1,596.5,1000
38001-39000,1418.3,412.3,1000
39001-40000,1794.4,555.6,1000
40001-41000,2065.1,603.1,1000
41001-42000,1755.6,548.1,1000
42001-43000,1759.8,495.1,1000
43001-44000,1744.5,629.5,1000
44001-45000,2327.2,569.5,1000
45001-46000,1862.6,633.4,1000
46001-47000,2773.1,657.8,1000
47001-48000,2656.8,623.1,1000
48001-49000,5536.7,627.6,1000
49001-50000,2559.9,573.4,1000
50001-51000,1790.2,520.8,1000
51001-52000,2319.5,541.7,1000
52001-53000,3948.0,598.6,1000
53001-54000,1446.4,438.1,1000
54001-55000,1803.2,506.9,1000
55001-56000,1336.6,500.2,1000
56001-57000,2101.2,613.7,1000
57001-58000,1973.3,505.7,1000
58001-59000,1841.6,469.8,1000
59001-60000,2243.6,555.0,1000
60001-61000,1674.1,476.3,1000
61001-62000,1912.8,523.4,1000
62001-63000,1913.1,547.7,1000
63001-64000,2050.1,551.7,1000
64001-65000,2271.4,674.5,1000
65001-66000,1962.5,554.8,1000
66001-67000,1967.0,527.7,1000
67001-68000,1857.3,511.2,1000
68001-69000,1530.8,502.8,1000
69001-70000,2678.4,627.4,1000
70001-71000,2363.7,651.1,1000
71001-72000,3142.1,602.7,1000
72001-73000,1730.0,519.2,1000
73001-74000,1897.6,489.2,1000
74001-75000,2096.7,680.3,1000
75001-76000,1714.4,439.9,1000
76001-77000,1653.3,505.9,1000
77001-78000,4295.6,629.6,1000
78001-79000,1541.9,477.6,1000
79001-80000,2044.6,485.4,1000
80001-81000,1657.4,551.7,1000
81001-82000,1585.7,563.6,1000
82001-83000,1415.8,530.2,1000
83001-84000,1672.2,488.8,1000
84001-85000,1683.8,491.2,1000
85001-86000,1654.5,541.0,1000
86001-87000,2243.2,602.3,1000
87001-88000,3589.9,652.7,1000
88001-89000,1729.0,543.2,1000
89001-90000,1845.2,562.8,1000
90001-91000,1699.5,539.5,1000
91001-92000,2132.8,537.1,1000
92001-93000,2135.1,534.0,1000
93001-94000,2346.1,630.0,1000
94001-95000,1544.3,430.2,1000
95001-96000,1684.7,527.1,1000
96001-97000,1549.7,510.6,1000
97001-98000,3141.4,667.0,1000
98001-99000,1337.8,406.9,1000
99001-100000,2838.4,721.2,1000
100001-101000,1549.3,484.6,1000
101001-102000,1544.4,480.3,1000
102001-103000,2212.5,476.5,1000
103001-104000,1737.6,536.0,1000
104001-105000,1502.1,506.5,1000
105001-106000,1529.3,568.7,1000
106001-107000,1835.1,557.9,1000
107001-108000,4787.8,648.9,1000
108001-109000,1984.8,557.1,1000
109001-110000,1505.2,515.7,1000
110001-111000,1723.2,442.8,1000
111001-112000,1682.7,539.9,1000
112001-113000,2556.1,540.5,1000
113001-114000,1935.6,545.6,1000
114001-115000,1518.0,504.2,1000
115001-116000,2545.6,593.9,1000
116001-117000,2537.1,596.0,1000
117001-118000,1908.2,504.0,1000
118001-119000,2721.8,598.9,1000
119001-120000,1671.7,568.4,1000
120001-121000,1538.9,403.2,1000
121001-122000,1840.7,602.0,1000
122001-123000,2245.3,573.2,1000
123001-124000,3501.0,697.1,1000
124001-125000,1727.9,535.7,1000
125001-126000,1686.4,504.1,1000
126001-127000,1769.0,528.5,1000
127001-128000,1972.9,568.6,1000
128001-129000,3712.8,561.1,1000
129001-130000,1473.6,431.5,1000
130001-131000,1846.3,479.7,1000
131001-132000,1561.6,442.5,1000
132001-133000,1966.5,581.4,1000
133001-134000,1834.4,507.6,1000
134001-135000,1791.7,497.6,1000
135001-136000,3352.2,522.0,1000
136001-137000,1471.1,433.1,1000
137001-138000,1874.1,672.9,1000
138001-139000,2688.7,935.7,1000
139001-140000,2765.6,900.1,1000
140001-141000,1822.8,552.2,1000
141001-142000,1887.6,477.3,1000
142001-143000,2070.0,487.9,1000
143001-144000,1740.0,549.1,1000
144001-145000,2070.8,551.3,1000
145001-146000,2224.3,512.6,1000
146001-147000,3897.8,676.9,1000
147001-148000,2966.2,891.5,1000
148001-149000,2142.8,628.7,1000
149001-150000,2027.7,598.6,1000
150001-151000,1774.5,451.5,1000
151001-152000,1749.8,550.8,1000
152001-153000,5670.4,518.0,1000
153001-154000,2083.8,554.1,1000
154001-155000,1545.9,497.2,1000
155001-156000,2027.9,554.4,1000
156001-157000,2183.3,558.3,1000
157001-158000,4608.5,569.9,1000
158001-159000,4905.1,590.9,1000
159001-160000,1874.9,621.7,1000
160001-161000,1578.8,476.7,1000
161001-162000,2949.0,661.3,1000
162001-163000,1955.7,613.0,1000
163001-164000,1802.3,484.1,1000
164001-165000,2190.7,605.6,1000
165001-166000,1681.6,480.8,1000
166001-167000,1636.2,473.9,1000
167001-168000,1759.5,542.5,1000
168001-169000,2073.9,617.0,1000
169001-170000,1991.9,544.3,1000
170001-171000,1622.5,498.8,1000
171001-172000,2281.3,645.4,1000
172001-173000,1923.9,577.4,1000
173001-174000,1980.1,519.8,1000
174001-175000,1727.6,502.8,1000
175001-176000,1575.5,450.8,1000
176001-177000,1833.7,469.4,1000
177001-178000,1491.5,522.3,1000
178001-179000,2208.6,596.3,1000
179001-180000,1851.2,535.7,1000
180001-181000,1907.2,569.4,1000
181001-182000,3218.2,597.5,1000
182001-183000,2307.3,669.8,1000
183001-184000,2187.4,511.5,1000
184001-185000,1753.5,577.4,1000
185001-186000,1767.8,421.4,1000
186001-187000,1548.4,486.8,1000
187001-188000,2166.5,626.2,1000
188001-189000,2682.7,544.7,1000
189001-190000,2338.4,610.7,1000
190001-191000,1735.1,606.4,1000
191001-192000,1689.3,517.7,1000
192001-193000,1799.9,482.7,1000
193001-194000,1968.7,515.3,1000
194001-195000,2013.8,643.2,1000
195001-196000,2102.0,551.5,1000
196001-197000,2428.9,587.4,1000
197001-198000,3132.0,606.2,1000
198001-199000,1594.4,538.0,1000
199001-200000,5296.9,670.7,1000
200001-201000,1775.5,485.6,1000
201001-202000,1767.4,521.8,1000
202001-203000,2066.3,488.8,1000
203001-204000,2540.1,613.2,1000
204001-205000,1474.4,491.6,1000
205001-206000,2210.3,547.2,1000
206001-207000,1619.1,530.2,1000
207001-208000,2328.6,586.0,1000
208001-209000,1755.4,610.7,1000
209001-210000,6965.6,496.6,1000
210001-211000,3175.8,543.7,1000
211001-212000,2911.2,602.5,1000
212001-213000,1668.1,461.2,1000
213001-214000,1983.8,524.3,1000
214001-215000,2130.5,648.9,1000
215001-216000,2512.5,542.9,1000
216001-217000,1670.4,448.9,1000
217001-218000,2043.4,546.1,1000
218001-219000,2481.4,486.3,1000
219001-220000,2766.1,714.1,1000
220001-221000,2106.4,648.0,1000
221001-222000,1394.2,453.5,1000
222001-223000,1609.7,494.3,1000
223001-224000,2044.7,587.2,1000
224001-225000,1304.6,431.3,1000
225001-226000,1821.2,512.6,1000
226001-227000,1412.2,420.7,1000
227001-228000,1436.2,427.9,1000
228001-229000,2016.8,568.6,1000
229001-230000,1863.0,555.3,1000
230001-231000,1604.0,492.3,1000
231001-232000,1632.1,441.8,1000
232001-233000,1940.7,501.0,1000
233001-234000,1616.9,487.6,1000
234001-235000,1421.9,490.0,1000
235001-236000,1775.4,559.7,1000
236001-237000,1545.9,492.5,1000
237001-238000,1988.7,625.2,1000
238001-239000,2047.3,581.2,1000
239001-240000,1879.2,658.6,1000
240001-241000,1443.0,417.7,1000
241001-242000,4414.2,630.4,1000
242001-243000,1677.6,477.6,1000
243001-244000,1741.5,482.5,1000
244001-245000,2785.4,553.6,1000
245001-246000,1705.1,431.8,1000
246001-247000,1802.3,500.4,1000
247001-248000,2160.7,543.8,1000
248001-249000,1594.7,429.5,1000
249001-250000,1191.8,375.7,1000
250001-251000,1792.7,569.4,1000
251001-252000,2204.1,529.5,1000
252001-253000,1444.7,480.8,1000
253001-254000,1630.9,557.0,1000
254001-255000,1236.4,414.3,1000
255001-256000,2327.4,661.0,1000
256001-257000,2475.8,559.9,1000
257001-258000,4087.8,713.1,1000
258001-259000,1578.1,560.2,1000
259001-260000,3287.5,637.7,1000
260001-261000,1414.6,476.9,1000
261001-262000,2558.0,556.5,1000
262001-263000,2311.8,522.9,1000
263001-264000,1675.7,524.8,1000
264001-265000,7712.2,536.1,1000
265001-266000,1957.4,597.3,1000
266001-267000,1540.6,507.2,1000
267001-268000,1530.2,494.3,1000
268001-269000,1903.1,545.9,1000
269001-270000,1652.0,440.9,1000
270001-271000,3173.6,532.2,1000
271001-272000,2263.8,632.0,1000
272001-273000,2341.8,542.4,1000
273001-274000,2078.3,595.2,1000
274001-275000,1727.4,481.3,1000
275001-276000,2031.7,582.5,1000
276001-277000,2967.6,1157.8,1000
277001-278000,6123.3,1207.4,1000
278001-279000,3564.0,1254.7,1000
279001-280000,2559.8,991.1,1000
280001-281000,2612.8,922.0,1000
281001-282000,4152.5,1148.3,1000
282001-283000,7530.7,1187.6,1000
283001-284000,2914.7,1006.2,1000
284001-285000,3327.9,1040.9,1000
285001-286000,4743.5,1015.3,1000
286001-287000,5286.1,783.8,1000
287001-288000,18765.5,1637.9,1000
288001-289000,7448.7,1322.8,1000
289001-290000,4803.2,1123.4,1000
290001-291000,3063.8,930.2,1000
291001-292000,1545.2,429.8,1000
292001-293000,2173.7,578.1,1000
293001-294000,2547.6,611.6,1000
294001-295000,2398.8,646.6,1000
295001-296000,1800.4,507.0,1000
296001-297000,1208.1,359.5,1000
297001-298000,1188.6,377.0,1000
298001-299000,1198.9,315.6,1000
