bin,delay_avg,jitter_avg,n
122001-123000,938.4,344.6,1000
123001-124000,1321.0,417.1,1000
124001-125000,938.2,348.3,1000
125001-126000,1206.2,411.3,1000
126001-127000,862.9,303.8,1000
127001-128000,885.1,377.1,1000
128001-129000,1401.5,368.5,1000
129001-130000,729.3,303.8,1000
130001-131000,1026.9,357.2,1000
131001-132000,1030.4,320.7,1000
132001-133000,857.2,329.3,1000
133001-134000,2893.6,400.8,1000
134001-135000,860.3,342.6,1000
135001-136000,1240.9,383.0,1000
136001-137000,875.2,329.4,1000
137001-138000,1400.5,547.2,1000
138001-139000,1072.6,364.0,1000
139001-140000,1052.2,351.4,1000
140001-141000,1175.0,377.5,1000
141001-142000,1078.6,437.6,1000
142001-143000,1066.4,333.1,1000
143001-144000,1192.9,379.8,1000
144001-145000,1454.1,350.4,1000
145001-146000,981.4,313.3,1000
146001-147000,2346.3,363.1,1000
147001-148000,918.2,316.4,1000
148001-149000,1408.8,388.9,1000
149001-150000,1021.2,390.1,1000
150001-151000,1055.6,344.5,1000
151001-152000,1863.7,380.2,1000
152001-153000,1096.1,361.1,1000
153001-154000,854.5,336.7,1000
154001-155000,932.9,328.4,1000
155001-156000,1071.6,342.1,1000
156001-157000,994.4,317.3,1000
157001-158000,1011.1,347.2,1000
158001-159000,1306.2,299.9,1000
159001-160000,1189.5,402.3,1000
160001-161000,908.2,408.2,1000
161001-162000,966.9,339.5,1000
162001-163000,827.9,326.3,1000
163001-164000,3394.0,447.9,1000
164001-165000,1280.7,389.3,1000
165001-166000,1200.2,428.1,1000
166001-167000,1098.8,355.1,1000
167001-168000,1224.1,336.6,1000
168001-169000,1272.7,344.4,1000
169001-170000,956.9,277.1,1000
170001-171000,1016.8,352.5,1000
171001-172000,1197.1,422.1,1000
172001-173000,825.7,259.6,1000
173001-174000,891.0,376.2,1000
174001-175000,1110.6,341.3,1000
175001-176000,929.3,333.3,1000
176001-177000,1359.5,391.3,1000
177001-178000,1281.0,357.7,1000
178001-179000,840.9,275.4,1000
179001-180000,944.9,330.3,1000
180001-181000,920.3,343.2,1000
181001-182000,913.3,380.2,1000
182001-183000,1082.0,383.7,1000
183001-184000,952.7,288.2,1000
184001-185000,964.1,318.1,1000
185001-186000,1071.5,366.0,1000
186001-187000,1309.9,441.2,1000
187001-188000,913.9,307.8,1000
188001-189000,1002.1,343.1,1000
189001-190000,1195.6,331.0,1000
190001-191000,3047.1,395.4,1000
191001-192000,1183.4,398.3,1000
192001-193000,1308.4,395.6,1000
193001-194000,940.3,328.8,1000
194001-195000,1166.2,367.3,1000
195001-196000,927.1,374.3,1000
196001-197000,1107.3,368.9,1000
197001-198000,835.0,323.5,1000
198001-199000,1040.1,375.6,1000
199001-200000,2456.3,449.5,1000
200001-201000,1000.5,352.6,1000
201001-202000,948.0,310.0,1000
202001-203000,899.5,358.7,1000
203001-204000,971.3,322.8,1000
204001-205000,990.8,335.4,1000
205001-206000,1171.7,395.0,1000
206001-207000,922.3,371.6,1000
207001-208000,955.0,337.8,1000
208001-209000,1145.8,381.5,1000
209001-210000,1003.3,315.6,1000
210001-211000,1110.5,351.4,1000
211001-212000,986.3,359.8,1000
212001-213000,1159.2,360.5,1000
213001-214000,1095.8,372.9,1000
214001-215000,902.6,351.5,1000
215001-216000,901.6,301.4,1000
216001-217000,1056.0,367.4,1000
217001-218000,969.1,344.4,1000
218001-219000,898.0,334.9,1000
219001-220000,1251.4,404.3,1000
220001-221000,1693.7,577.7,1000
221001-222000,2046.2,598.6,1000
222001-223000,1624.3,524.0,1000
223001-224000,1667.5,481.3,1000
224001-225000,1699.8,494.5,1000
225001-226000,1905.4,586.3,1000
226001-227000,1926.6,565.0,1000
227001-228000,5730.0,639.0,1000
228001-229000,1551.8,508.9,1000
229001-230000,4858.8,738.0,1000
230001-231000,1587.2,455.5,1000
231001-232000,2100.3,652.0,1000
232001-233000,1652.0,703.9,1000
233001-234000,1398.4,450.2,1000
234001-235000,1732.8,555.0,1000
235001-236000,1824.4,533.0,1000
236001-237000,2039.8,556.2,1000
237001-238000,1742.5,533.8,1000
238001-239000,2469.1,482.8,1000
239001-240000,1416.1,412.2,1000
240001-241000,1525.1,454.8,1000
241001-242000,1767.6,492.5,1000
242001-243000,1755.2,530.9,1000
243001-244000,1532.7,480.1,1000
244001-245000,1484.9,483.1,1000
245001-246000,1466.1,507.8,1000
246001-247000,1050.0,346.1,1000
247001-248000,1404.4,446.4,1000
248001-249000,1006.1,342.8,1000
249001-250000,970.0,348.2,1000
250001-251000,844.9,312.6,1000
251001-252000,1082.5,321.8,1000
252001-253000,1025.2,320.9,1000
253001-254000,2392.4,490.4,1000
254001-255000,988.7,347.3,1000
255001-256000,1462.8,465.0,1000
256001-257000,1794.1,453.1,1000
257001-258000,1038.0,319.4,1000
258001-259000,913.0,316.4,1000
259001-260000,959.1,359.7,1000
260001-261000,1590.0,369.4,1000
261001-262000,917.6,359.3,1000
262001-263000,1239.2,436.7,1000
263001-264000,1018.6,334.8,1000
264001-265000,933.5,307.5,1000
265001-266000,1032.9,348.8,1000
266001-267000,974.2,319.1,1000
267001-268000,1235.9,398.1,1000
268001-269000,1006.5,356.9,1000
269001-270000,959.9,342.0,1000
270001-271000,955.1,333.3,1000
271001-272000,1187.8,330.4,1000
272001-273000,1309.6,365.7,1000
273001-274000,973.5,367.5,1000
274001-275000,1016.0,309.7,1000
275001-276000,1108.3,333.2,1000
276001-277000,1066.5,387.6,1000
277001-278000,1260.9,423.1,1000
278001-279000,908.2,404.0,1000
279001-280000,917.2,354.7,1000
280001-281000,916.7,336.8,1000
281001-282000,996.9,350.3,1000
282001-283000,979.2,322.9,1000
283001-284000,1326.5,426.4,1000
284001-285000,1173.0,369.2,1000
285001-286000,1256.7,397.1,1000
286001-287000,843.1,341.9,1000
287001-288000,1321.5,401.3,1000
288001-289000,1066.0,280.8,1000
289001-290000,1087.6,358.3,1000
290001-291000,1381.4,428.9,1000
291001-292000,1814.2,329.8,1000
292001-293000,1076.8,368.4,1000
293001-294000,1308.1,364.6,1000
294001-295000,1117.4,390.7,1000
295001-296000,1456.4,405.5,1000
296001-297000,1886.4,478.9,1000
297001-298000,1268.0,391.1,1000
298001-299000,1130.4,367.2,1000
299001-300000,1131.1,309.3,1000
