bin,delay_avg,jitter_avg,n
1-1000,989.1,355.0,1000
1001-2000,1121.2,334.1,1000
2001-3000,875.9,321.3,1000
3001-4000,964.7,325.5,1000
4001-5000,949.3,323.8,1000
5001-6000,1096.0,351.3,1000
6001-7000,847.3,384.3,1000
7001-8000,1069.9,362.4,1000
8001-9000,1036.5,373.7,1000
9001-10000,966.6,338.7,1000
10001-11000,1043.6,353.7,1000
11001-12000,1103.0,317.1,1000
12001-13000,3622.8,469.4,1000
13001-14000,1088.6,378.9,1000
14001-15000,1598.6,363.6,1000
15001-16000,1094.4,377.2,1000
16001-17000,1096.8,321.8,1000
17001-18000,868.9,349.0,1000
18001-19000,1033.1,314.2,1000
19001-20000,1023.7,339.5,1000
20001-21000,1268.8,339.1,1000
21001-22000,956.1,310.2,1000
22001-23000,770.5,308.5,1000
23001-24000,1013.7,316.7,1000
24001-25000,3809.0,442.4,1000
25001-26000,921.6,303.9,1000
26001-27000,1061.3,328.9,1000
27001-28000,1111.6,407.9,1000
28001-29000,1034.9,385.9,1000
29001-30000,958.5,388.4,1000
30001-31000,833.9,309.1,1000
31001-32000,1059.1,324.2,1000
32001-33000,1974.3,378.5,1000
33001-34000,934.6,356.8,1000
34001-35000,1200.8,340.3,1000
35001-36000,1029.5,343.0,1000
36001-37000,919.4,346.2,1000
37001-38000,922.7,329.9,1000
38001-39000,1474.1,381.5,1000
39001-40000,878.4,269.4,1000
40001-41000,1747.1,305.3,1000
41001-42000,999.5,319.2,1000
42001-43000,1283.7,398.1,1000
43001-44000,1266.4,432.4,1000
44001-45000,1013.7,382.9,1000
45001-46000,1120.0,343.2,1000
46001-47000,811.2,339.9,1000
47001-48000,1024.9,302.1,1000
48001-49000,964.8,317.3,1000
49001-50000,959.5,347.5,1000
50001-51000,893.3,288.7,1000
51001-52000,771.2,322.9,1000
52001-53000,984.1,302.1,1000
53001-54000,972.9,354.5,1000
54001-55000,972.0,318.2,1000
55001-56000,854.3,341.1,1000
56001-57000,1107.2,288.9,1000
57001-58000,857.3,286.4,1000
58001-59000,886.5,334.8,1000
59001-60000,1137.1,434.3,1000
60001-61000,1056.0,372.6,1000
61001-62000,848.3,296.2,1000
62001-63000,1306.7,416.7,1000
63001-64000,966.7,395.7,1000
64001-65000,2936.3,418.9,1000
65001-66000,1485.4,371.3,1000
66001-67000,1387.2,438.6,1000
67001-68000,787.6,323.6,1000
68001-69000,801.2,280.5,1000
69001-70000,1027.9,353.3,1000
70001-71000,1061.8,334.6,1000
71001-72000,1026.6,372.5,1000
72001-73000,894.4,333.5,1000
73001-74000,799.8,353.1,1000
74001-75000,879.5,294.6,1000
75001-76000,794.3,282.6,1000
76001-77000,919.7,295.7,1000
77001-78000,819.1,318.3,1000
78001-79000,873.2,322.9,1000
79001-80000,1027.4,339.8,1000
80001-81000,753.5,293.3,1000
81001-82000,986.7,379.8,1000
82001-83000,1251.0,387.1,1000
83001-84000,1018.5,317.9,1000
84001-85000,1488.1,417.4,1000
85001-86000,842.2,300.1,1000
86001-87000,934.6,331.8,1000
87001-88000,921.1,344.3,1000
88001-89000,891.6,288.1,1000
89001-90000,1022.8,319.0,1000
90001-91000,995.6,333.4,1000
91001-92000,1277.4,379.8,1000
92001-93000,1064.1,333.8,1000
93001-94000,984.1,379.4,1000
94001-95000,1264.6,393.9,1000
95001-96000,1095.2,376.6,1000
96001-97000,2702.8,435.6,1000
97001-98000,989.4,330.7,1000
98001-99000,1087.4,341.2,1000
99001-100000,1057.9,344.8,1000
100001-101000,986.1,356.3,1000
101001-102000,968.2,405.0,1000
102001-103000,1090.9,340.4,1000
103001-104000,1244.8,342.4,1000
104001-105000,849.8,328.7,1000
105001-106000,1056.5,350.0,1000
106001-107000,1198.7,401.6,1000
107001-108000,1584.0,449.6,1000
108001-109000,894.3,383.4,1000
109001-110000,909.4,299.4,1000
110001-111000,782.0,312.3,1000
111001-112000,1305.7,415.1,1000
112001-113000,1288.3,394.7,1000
113001-114000,2392.4,450.2,1000
114001-115000,907.6,392.9,1000
115001-116000,1106.7,324.4,1000
116001-117000,1448.2,404.3,1000
117001-118000,1254.0,335.8,1000
118001-119000,957.8,412.1,1000
119001-120000,1250.5,399.3,1000
120001-121000,946.4,328.5,1000
121001-122000,1007.7,371.6,1000
