bin,delay_avg,jitter_avg,n
1-1000,1758.2,466.3,1000
1001-2000,1751.9,457.6,1000
2001-3000,1829.5,579.5,1000
3001-4000,1816.8,528.4,1000
4001-5000,3922.8,594.4,1000
5001-6000,1715.4,486.9,1000
6001-7000,2198.6,558.6,1000
7001-8000,1880.3,532.5,1000
8001-9000,2656.2,725.0,1000
9001-10000,2013.0,472.2,1000
10001-11000,1961.0,511.4,1000
11001-12000,1775.4,509.5,1000
12001-13000,1525.8,448.2,1000
13001-14000,1584.7,499.4,1000
14001-15000,2194.1,514.9,1000
15001-16000,3278.2,615.1,1000
16001-17000,2230.3,543.6,1000
17001-18000,1519.3,511.8,1000
18001-19000,1646.6,500.7,1000
19001-20000,1988.5,631.7,1000
20001-21000,1711.8,461.7,1000
21001-22000,2240.6,505.1,1000
22001-23000,2721.3,488.8,1000
23001-24000,1965.7,607.2,1000
24001-25000,1474.3,445.1,1000
25001-26000,1819.3,604.3,1000
26001-27000,1921.3,605.9,1000
27001-28000,3107.2,636.1,1000
28001-29000,2003.8,524.3,1000
29001-30000,2411.7,508.4,1000
30001-31000,1976.1,578.3,1000
31001-32000,1560.3,460.5,1000
32001-33000,2646.9,645.8,1000
33001-34000,2066.4,645.2,1000
34001-35000,1633.0,523.8,1000
35001-36000,1670.2,609.7,1000
36001-37000,2988.8,517.3,1000
37001-38000,2034.5,460.7,1000
38001-39000,1590.2,469.0,1000
39001-40000,2062.2,522.3,1000
40001-41000,1730.2,638.1,1000
41001-42000,2017.3,566.4,1000
42001-43000,1875.6,529.8,1000
43001-44000,2515.8,597.4,1000
44001-45000,2402.6,510.9,1000
45001-46000,2270.1,672.1,1000
46001-47000,2220.8,590.4,1000
47001-48000,5576.9,721.8,1000
48001-49000,3115.7,676.7,1000
49001-50000,2145.8,639.3,1000
50001-51000,1814.2,509.8,1000
51001-52000,2369.6,676.4,1000
52001-53000,3649.9,558.2,1000
53001-54000,1448.8,501.0,1000
54001-55000,2032.7,515.9,1000
55001-56000,1677.2,505.8,1000
56001-57000,1683.6,544.1,1000
57001-58000,1913.0,598.0,1000
58001-59000,1484.5,494.1,1000
59001-60000,1702.9,561.8,1000
60001-61000,1914.1,547.7,1000
61001-62000,1750.8,571.6,1000
62001-63000,1861.6,522.5,1000
63001-64000,1908.3,509.2,1000
64001-65000,2911.3,624.2,1000
65001-66000,1447.2,432.7,1000
66001-67000,1632.8,627.6,1000
67001-68000,1413.3,457.8,1000
68001-69000,1413.2,506.0,1000
69001-70000,1703.2,563.5,1000
70001-71000,2528.6,825.9,1000
71001-72000,2843.5,614.7,1000
72001-73000,1996.9,613.4,1000
73001-74000,1713.3,455.1,1000
74001-75000,1888.1,528.8,1000
75001-76000,2188.0,653.8,1000
76001-77000,1573.8,483.7,1000
77001-78000,2081.6,545.0,1000
78001-79000,3923.2,663.9,1000
79001-80000,1910.6,496.4,1000
80001-81000,1660.5,515.3,1000
81001-82000,1926.4,533.2,1000
82001-83000,1612.0,496.7,1000
83001-84000,1609.4,462.2,1000
84001-85000,1887.8,504.5,1000
85001-86000,1631.5,535.8,1000
86001-87000,1915.0,550.2,1000
87001-88000,3496.6,670.1,1000
88001-89000,3231.8,629.9,1000
89001-90000,1890.9,480.2,1000
90001-91000,1988.7,517.2,1000
91001-92000,2036.4,524.0,1000
92001-93000,2432.4,526.2,1000
93001-94000,2099.3,609.8,1000
94001-95000,1991.8,594.4,1000
95001-96000,1533.6,471.2,1000
96001-97000,2144.6,527.2,1000
97001-98000,2281.9,531.7,1000
98001-99000,1952.0,556.0,1000
99001-100000,1541.7,463.8,1000
100001-101000,2865.8,682.6,1000
101001-102000,1838.3,559.1,1000
102001-103000,2420.5,527.3,1000
103001-104000,1461.5,534.9,1000
104001-105000,1890.3,565.0,1000
105001-106000,1735.7,481.1,1000
106001-107000,1843.2,561.1,1000
107001-108000,1752.5,425.4,1000
108001-109000,3851.5,536.2,1000
109001-110000,2447.2,605.0,1000
110001-111000,1659.1,470.9,1000
111001-112000,1743.4,564.7,1000
112001-113000,1633.4,505.8,1000
113001-114000,2595.7,546.5,1000
114001-115000,2693.7,671.0,1000
115001-116000,1690.7,541.4,1000
116001-117000,2222.6,594.9,1000
117001-118000,2425.8,584.5,1000
118001-119000,2233.8,548.9,1000
119001-120000,2186.0,527.8,1000
120001-121000,1710.0,559.4,1000
121001-122000,1525.0,504.7,1000
122001-123000,1824.1,624.0,1000
123001-124000,1778.0,559.8,1000
124001-125000,3634.7,623.4,1000
125001-126000,2039.9,537.0,1000
126001-127000,1567.8,473.1,1000
127001-128000,1818.4,569.3,1000
128001-129000,2458.8,633.3,1000
129001-130000,3668.6,525.1,1000
130001-131000,1342.6,417.5,1000
131001-132000,1449.2,525.5,1000
132001-133000,1695.9,551.4,1000
133001-134000,1597.2,441.4,1000
134001-135000,1604.9,426.9,1000
135001-136000,1366.6,518.1,1000
136001-137000,2753.6,513.3,1000
137001-138000,2591.4,488.6,1000
138001-139000,1791.5,543.1,1000
139001-140000,2653.3,916.6,1000
140001-141000,3685.0,996.9,1000
141001-142000,2244.1,598.3,1000
142001-143000,1756.3,572.3,1000
143001-144000,2049.1,547.9,1000
144001-145000,1705.2,531.6,1000
145001-146000,2301.5,487.8,1000
146001-147000,2375.6,584.5,1000
147001-148000,2631.1,701.2,1000
148001-149000,4285.2,758.9,1000
149001-150000,2163.0,801.4,1000
150001-151000,1514.7,559.9,1000
151001-152000,1715.3,522.8,1000
152001-153000,1628.4,566.6,1000
153001-154000,5005.5,688.2,1000
154001-155000,1834.2,548.8,1000
155001-156000,1632.3,529.7,1000
156001-157000,1999.3,546.5,1000
157001-158000,2452.1,546.3,1000
158001-159000,3933.2,530.7,1000
159001-160000,2329.2,647.4,1000
160001-161000,4718.5,664.4,1000
161001-162000,1785.8,455.0,1000
162001-163000,2258.3,535.1,1000
163001-164000,2079.6,511.0,1000
164001-165000,1957.6,598.7,1000
165001-166000,1922.0,617.7,1000
166001-167000,1659.1,523.4,1000
167001-168000,1710.4,523.4,1000
168001-169000,1952.3,524.8,1000
169001-170000,1905.2,525.7,1000
170001-171000,1953.0,523.3,1000
171001-172000,1470.2,479.3,1000
172001-173000,1532.6,472.7,1000
173001-174000,1894.6,525.2,1000
