bin,delay_avg,jitter_avg,n
174001-175000,1592.5,470.0,1000
175001-176000,1569.2,468.6,1000
176001-177000,1461.7,540.9,1000
177001-178000,1828.7,544.4,1000
178001-179000,1621.2,546.0,1000
179001-180000,1948.4,551.1,1000
180001-181000,2576.2,584.2,1000
181001-182000,1663.8,500.2,1000
182001-183000,3667.9,660.5,1000
183001-184000,2256.8,475.3,1000
184001-185000,2037.7,547.0,1000
185001-186000,1669.5,530.8,1000
186001-187000,1884.3,568.5,1000
187001-188000,1657.0,497.8,1000
188001-189000,1983.1,635.0,1000
189001-190000,2676.6,490.5,1000
190001-191000,2081.8,646.9,1000
191001-192000,2034.2,685.4,1000
192001-193000,1871.2,512.1,1000
193001-194000,1711.7,514.9,1000
194001-195000,2015.8,519.4,1000
195001-196000,2154.5,491.0,1000
196001-197000,2043.5,506.4,1000
197001-198000,1908.4,569.4,1000
198001-199000,1966.7,611.9,1000
199001-200000,2274.7,465.1,1000
200001-201000,5021.0,701.7,1000
201001-202000,1665.0,574.0,1000
202001-203000,1600.0,516.4,1000
203001-204000,1539.8,515.9,1000
204001-205000,2071.4,532.6,1000
205001-206000,2359.1,517.0,1000
206001-207000,2083.3,498.6,1000
207001-208000,1949.2,487.8,1000
208001-209000,1605.5,418.0,1000
209001-210000,2476.2,565.6,1000
210001-211000,1961.6,487.9,1000
211001-212000,9159.3,547.6,1000
212001-213000,3375.3,725.5,1000
213001-214000,1705.1,469.9,1000
214001-215000,1429.5,490.7,1000
215001-216000,1743.9,585.4,1000
216001-217000,2673.8,691.6,1000
217001-218000,1548.2,442.3,1000
218001-219000,1496.8,505.3,1000
219001-220000,1543.6,588.0,1000
220001-221000,3871.9,847.3,1000
221001-222000,2355.3,593.6,1000
222001-223000,1560.3,488.8,1000
223001-224000,1824.8,506.5,1000
224001-225000,1731.9,498.0,1000
225001-226000,1471.8,472.5,1000
226001-227000,1676.7,536.5,1000
227001-228000,1735.3,511.7,1000
228001-229000,1341.2,416.7,1000
229001-230000,1404.8,404.6,1000
230001-231000,2654.8,538.6,1000
231001-232000,1489.5,468.7,1000
232001-233000,2017.0,506.4,1000
233001-234000,1654.7,501.0,1000
234001-235000,1670.0,503.6,1000
235001-236000,1501.6,453.4,1000
236001-237000,1485.9,447.7,1000
237001-238000,1691.1,481.6,1000
238001-239000,2224.6,588.5,1000
239001-240000,1858.4,623.1,1000
240001-241000,2301.1,515.1,1000
241001-242000,1367.1,471.3,1000
242001-243000,3205.0,552.4,1000
243001-244000,1814.6,518.3,1000
244001-245000,1578.1,444.0,1000
245001-246000,2765.2,521.7,1000
246001-247000,1518.2,475.3,1000
247001-248000,1577.9,464.7,1000
248001-249000,1781.7,583.3,1000
249001-250000,1845.3,553.5,1000
250001-251000,1394.2,424.3,1000
251001-252000,1730.5,546.4,1000
252001-253000,2107.9,618.7,1000
253001-254000,1340.3,465.6,1000
254001-255000,1663.8,537.6,1000
255001-256000,1637.4,454.2,1000
256001-257000,1857.9,512.6,1000
257001-258000,2124.6,566.4,1000
258001-259000,2751.8,639.9,1000
259001-260000,4697.4,782.7,1000
260001-261000,1441.4,513.4,1000
261001-262000,3171.4,558.0,1000
262001-263000,1310.8,420.8,1000
263001-264000,2972.6,619.1,1000
264001-265000,1813.5,498.8,1000
265001-266000,1698.0,539.9,1000
266001-267000,6650.2,660.7,1000
267001-268000,1803.6,589.0,1000
268001-269000,2141.0,532.0,1000
269001-270000,1580.0,483.3,1000
270001-271000,1755.0,491.4,1000
271001-272000,1599.4,448.2,1000
272001-273000,3049.8,705.6,1000
273001-274000,2323.4,575.8,1000
274001-275000,2187.0,491.3,1000
275001-276000,1925.5,594.8,1000
276001-277000,1422.8,473.0,1000
277001-278000,2248.7,590.9,1000
278001-279000,2885.6,962.7,1000
279001-280000,5685.9,1115.7,1000
280001-281000,3589.2,1184.8,1000
281001-282000,3110.2,977.2,1000
282001-283000,2498.1,970.3,1000
283001-284000,2928.5,933.0,1000
284001-285000,8349.7,1244.8,1000
285001-286000,3182.8,995.8,1000
286001-287000,3054.9,1020.5,1000
287001-288000,5525.0,1231.2,1000
288001-289000,6184.4,1190.9,1000
289001-290000,19388.4,1188.5,1000
290001-291000,10254.2,1200.7,1000
291001-292000,5724.6,1245.5,1000
292001-293000,2682.8,731.5,1000
293001-294000,1556.0,405.0,1000
294001-295000,2706.9,648.4,1000
295001-296000,2419.3,589.2,1000
296001-297000,2775.2,594.0,1000
297001-298000,1396.1,417.2,1000
298001-299000,1563.1,427.3,1000
299001-300000,1250.3,413.2,1000
