bin,delay_avg,jitter_avg,n
196001-197000,807.8,495.6,647
197001-198000,791.7,463.5,693
198001-199000,2685.4,596.4,610
199001-200000,676.5,443.9,662
200001-201000,925.0,514.2,668
201001-202000,617.0,359.5,682
202001-203000,755.7,483.3,688
203001-204000,870.3,500.1,677
204001-205000,950.9,543.1,655
205001-206000,839.2,428.1,686
206001-207000,917.4,483.5,657
207001-208000,1009.6,523.3,641
208001-209000,1214.3,536.9,697
209001-210000,768.2,430.6,643
210001-211000,775.2,393.8,676
211001-212000,810.6,494.0,686
212001-213000,779.2,540.6,679
213001-214000,840.6,424.2,668
214001-215000,901.9,482.6,682
215001-216000,741.1,444.5,671
216001-217000,938.1,469.0,630
217001-218000,804.9,478.5,666
218001-219000,933.9,530.7,669
219001-220000,1397.8,657.5,654
220001-221000,1568.1,905.4,629
221001-222000,1315.6,685.3,638
222001-223000,1543.7,744.4,620
223001-224000,1544.2,713.6,599
224001-225000,1825.1,864.2,649
225001-226000,1873.2,731.7,636
226001-227000,1615.1,785.1,636
227001-228000,4674.2,784.4,649
228001-229000,3329.4,935.0,631
229001-230000,1518.5,785.2,677
230001-231000,1922.4,844.4,629
231001-232000,1344.2,920.0,646
232001-233000,1741.1,801.0,620
233001-234000,1323.3,644.4,651
234001-235000,1635.2,759.3,662
235001-236000,1760.6,818.6,640
236001-237000,1484.0,930.3,630
237001-238000,1671.1,875.3,642
238001-239000,1921.6,590.3,620
239001-240000,1269.5,647.0,642
240001-241000,1363.6,647.8,653
241001-242000,1475.7,742.0,624
242001-243000,1358.8,693.9,648
243001-244000,1313.3,750.4,625
244001-245000,1222.0,692.8,630
245001-246000,1355.1,747.2,655
246001-247000,1105.7,569.3,707
247001-248000,1227.6,569.9,670
248001-249000,1018.3,529.7,650
249001-250000,775.5,455.0,643
250001-251000,812.4,428.2,675
251001-252000,932.7,480.4,657
252001-253000,1312.7,632.1,693
253001-254000,1214.8,575.3,659
254001-255000,1162.6,521.3,643
255001-256000,1491.1,697.8,603
256001-257000,1200.8,623.9,601
257001-258000,740.0,422.6,657
258001-259000,876.4,514.3,684
259001-260000,669.3,382.6,710
260001-261000,1392.1,542.1,659
261001-262000,701.1,432.8,666
262001-263000,1180.6,579.8,682
263001-264000,564.3,358.7,699
264001-265000,805.5,472.3,639
265001-266000,824.8,512.4,646
266001-267000,790.5,456.6,661
267001-268000,1053.3,545.8,690
268001-269000,746.9,369.6,703
269001-270000,766.0,454.8,667
270001-271000,978.9,551.6,652
271001-272000,1338.4,621.6,643
272001-273000,1209.9,539.3,678
273001-274000,732.8,396.3,721
274001-275000,815.0,470.8,679
275001-276000,948.5,528.9,659
276001-277000,927.2,541.2,638
277001-278000,1046.2,551.3,658
278001-279000,842.6,414.9,682
279001-280000,836.7,510.7,644
280001-281000,852.3,453.5,681
281001-282000,703.8,433.9,682
282001-283000,711.5,435.6,702
283001-284000,1442.5,566.1,645
284001-285000,868.4,412.5,671
285001-286000,1266.3,631.1,629
286001-287000,838.1,466.7,681
287001-288000,806.7,517.9,685
288001-289000,873.7,525.3,654
289001-290000,883.8,507.8,638
290001-291000,901.2,480.0,657
291001-292000,1019.3,654.3,637
292001-293000,946.8,483.9,656
293001-294000,942.9,529.8,685
294001-295000,1015.8,596.8,634
295001-296000,1404.3,713.3,622
296001-297000,1262.1,629.9,638
297001-298000,1143.4,564.7,609
298001-299000,1015.2,500.6,644
299001-300000,1030.1,535.2,659
