bin,delay_avg,jitter_avg,n
1-1000,1444.5,466.9,1000
1001-2000,1677.8,518.6,1000
2001-3000,1906.9,595.0,1000
3001-4000,1610.6,509.1,1000
4001-5000,1358.6,456.9,1000
5001-6000,1379.7,442.4,1000
6001-7000,1478.5,417.1,1000
7001-8000,1795.7,507.9,1000
8001-9000,1493.8,465.5,1000
9001-10000,1353.8,463.2,1000
10001-11000,1349.4,444.4,1000
11001-12000,1942.4,561.3,1000
12001-13000,1600.3,482.7,1000
13001-14000,1382.9,523.9,1000
14001-15000,2237.2,652.6,1000
15001-16000,2921.1,794.5,1000
16001-17000,1633.8,478.6,1000
17001-18000,3204.4,945.7,1000
18001-19000,20505.3,1229.2,1000
19001-20000,2998.7,1034.2,1000
20001-21000,2533.8,875.5,1000
21001-22000,5475.0,1019.6,1000
22001-23000,3833.7,1049.9,1000
23001-24000,2723.7,910.1,1000
24001-25000,2324.2,827.0,1000
25001-26000,3763.0,911.0,1000
26001-27000,11992.7,1627.1,1000
27001-28000,2682.7,852.3,1000
28001-29000,4689.3,1134.4,1000
29001-30000,3111.3,936.8,1000
30001-31000,4480.8,1266.7,1000
31001-32000,2934.6,1082.2,1000
32001-33000,2355.4,930.3,1000
33001-34000,3076.5,1109.8,1000
34001-35000,5101.5,950.4,1000
35001-36000,3357.2,1123.3,1000
36001-37000,3053.3,974.0,1000
37001-38000,1758.1,519.6,1000
38001-39000,1609.8,495.6,1000
39001-40000,1685.0,474.4,1000
40001-41000,4225.6,720.5,1000
41001-42000,1929.3,488.5,1000
42001-43000,1500.0,474.6,1000
43001-44000,1759.6,549.6,1000
44001-45000,1371.6,436.2,1000
45001-46000,1470.6,501.1,1000
46001-47000,1551.2,406.9,1000
47001-48000,1584.3,516.8,1000
48001-49000,1485.3,487.7,1000
49001-50000,1851.0,513.0,1000
50001-51000,1309.4,405.2,1000
51001-52000,1489.9,498.9,1000
52001-53000,1550.6,389.8,1000
53001-54000,1466.4,410.0,1000
54001-55000,1552.1,477.0,1000
55001-56000,1276.2,378.7,1000
56001-57000,1258.8,400.8,1000
57001-58000,1968.5,498.6,1000
58001-59000,1395.2,492.7,1000
59001-60000,1452.6,481.9,1000
60001-61000,1733.2,512.0,1000
61001-62000,1414.1,475.3,1000
62001-63000,1306.7,406.1,1000
63001-64000,2234.3,648.7,1000
64001-65000,1450.2,458.4,1000
65001-66000,1180.2,392.6,1000
66001-67000,1476.8,471.4,1000
67001-68000,2641.3,637.5,1000
68001-69000,5429.3,1136.4,1000
69001-70000,14829.6,1455.7,1000
70001-71000,2620.5,871.2,1000
71001-72000,3907.2,1078.7,1000
72001-73000,2297.1,846.9,1000
73001-74000,7708.8,1142.5,1000
74001-75000,1123.8,451.3,1000
75001-76000,19303.5,924.7,1000
76001-77000,1665.3,523.4,1000
77001-78000,1320.8,372.0,1000
78001-79000,1029.4,356.7,1000
79001-80000,1209.9,360.2,1000
80001-81000,1377.9,426.4,1000
81001-82000,1933.3,532.6,1000
82001-83000,1958.8,478.8,1000
83001-84000,1736.0,453.2,1000
84001-85000,1581.2,530.2,1000
85001-86000,2636.3,820.6,1000
86001-87000,1463.7,466.4,1000
87001-88000,1703.6,435.7,1000
88001-89000,1489.5,468.0,1000
89001-90000,1620.7,509.2,1000
90001-91000,3897.6,465.1,1000
91001-92000,2728.9,503.3,1000
92001-93000,1064.3,354.6,1000
93001-94000,5647.3,635.0,1000
94001-95000,1180.4,376.2,1000
95001-96000,1587.9,423.2,1000
96001-97000,1369.4,388.6,1000
97001-98000,2902.7,445.7,1000
98001-99000,1796.9,439.7,1000
99001-100000,1300.1,424.1,1000
