bin,delay_avg,jitter_avg,n
1-1000,2212.7,567.1,1000
1001-2000,3405.0,1141.4,1000
2001-3000,4303.3,1075.8,1000
3001-4000,4583.3,1215.9,1000
4001-5000,4060.3,1129.9,1000
5001-6000,2528.6,932.6,1000
6001-7000,3334.0,1113.9,1000
7001-8000,6216.3,1331.0,1000
8001-9000,2992.2,1132.3,1000
9001-10000,4807.9,1148.4,1000
10001-11000,4602.8,1261.5,1000
11001-12000,7542.7,1391.5,1000
12001-13000,3151.5,1062.6,1000
13001-14000,4327.4,1203.7,1000
14001-15000,4373.4,956.9,1000
15001-16000,2377.7,598.7,1000
16001-17000,14986.8,1075.3,1000
17001-18000,1943.3,529.0,1000
18001-19000,2015.0,629.6,1000
19001-20000,2429.0,603.7,1000
20001-21000,1749.6,583.0,1000
21001-22000,2262.6,573.8,1000
22001-23000,1662.8,581.2,1000
23001-24000,1897.6,544.8,1000
24001-25000,1908.4,540.9,1000
25001-26000,1437.3,443.3,1000
26001-27000,2117.2,545.1,1000
27001-28000,1614.3,511.9,1000
28001-29000,1519.5,423.1,1000
29001-30000,1544.1,482.4,1000
30001-31000,1719.2,574.5,1000
31001-32000,1932.6,605.6,1000
32001-33000,1673.9,495.6,1000
33001-34000,1688.1,550.7,1000
34001-35000,2632.3,580.5,1000
35001-36000,2335.8,583.8,1000
36001-37000,1438.1,487.6,1000
37001-38000,2092.9,544.1,1000
38001-39000,1321.4,431.4,1000
39001-40000,1469.1,583.5,1000
40001-41000,1608.3,483.2,1000
41001-42000,2221.1,485.2,1000
42001-43000,1764.6,446.2,1000
43001-44000,1637.6,484.1,1000
44001-45000,1641.7,545.3,1000
45001-46000,1824.4,558.9,1000
46001-47000,1702.3,462.8,1000
47001-48000,1423.0,472.9,1000
48001-49000,2567.0,594.4,1000
49001-50000,2500.4,602.6,1000
50001-51000,4941.5,644.7,1000
51001-52000,2126.3,494.5,1000
52001-53000,2746.4,520.0,1000
53001-54000,4643.8,787.3,1000
54001-55000,3905.0,974.0,1000
55001-56000,3302.6,936.3,1000
56001-57000,10709.4,888.6,1000
57001-58000,1548.1,463.5,1000
58001-59000,2415.9,602.0,1000
59001-60000,2602.8,612.2,1000
60001-61000,1880.6,505.9,1000
61001-62000,5590.0,775.3,1000
62001-63000,1922.7,480.5,1000
63001-64000,2436.3,478.2,1000
64001-65000,6249.2,716.8,1000
65001-66000,1823.6,581.0,1000
66001-67000,1629.6,518.2,1000
67001-68000,2499.0,679.4,1000
68001-69000,1723.5,489.6,1000
69001-70000,1462.5,487.6,1000
70001-71000,1574.1,505.3,1000
71001-72000,1569.9,512.2,1000
72001-73000,2281.8,482.7,1000
73001-74000,2149.9,513.7,1000
74001-75000,2288.0,601.1,1000
75001-76000,1909.0,607.1,1000
76001-77000,1550.4,520.4,1000
77001-78000,2084.1,570.4,1000
78001-79000,2069.9,517.1,1000
79001-80000,3482.9,570.7,1000
80001-81000,3411.5,820.6,1000
81001-82000,2001.2,572.9,1000
82001-83000,1533.2,520.8,1000
83001-84000,1645.9,517.2,1000
84001-85000,1393.1,509.0,1000
85001-86000,1931.1,553.2,1000
86001-87000,1430.6,452.4,1000
87001-88000,4921.4,656.8,1000
88001-89000,1508.8,560.5,1000
89001-90000,1823.0,545.0,1000
90001-91000,1754.5,454.6,1000
91001-92000,1501.6,462.8,1000
92001-93000,3158.6,596.2,1000
93001-94000,4370.2,634.6,1000
94001-95000,1585.8,510.4,1000
95001-96000,2076.3,485.5,1000
96001-97000,3210.3,574.9,1000
97001-98000,1585.0,505.9,1000
98001-99000,2000.4,521.7,1000
99001-100000,1623.1,472.9,1000
